,NewColumn,0
Parameter, DVMT,
2022,81277576,
2021,79420671,
2020,81543552,
2019,86577672,
2018,86563582,
2017,86301543,
2016,86444182,
2015,86552865,
2014,85452919,
2013,84770376,
2012,85435423,
2011,85471914,
2010,85738000,
2009,86007000,
2008,86479000,
2007,87609000,
2006,86922000,
2005,86568000,
2004,86229000,
2003,85874000,
2002,85339000,
2001,84279000,
2000,83366000,
1999,81630000,
1998,79936000,
1997,78202000,
1996,76874000,
1994,74352000,
1993,74025000,
1992,72293000,
1991,72948000,
1990,72072000,
