,Area,Parameter,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
0,RURAL , MILES,5556.219999999999,5555.67,5693.45,5689.13,5691.04,5690.5599999999995,5689.07,5683.08,5693.52,6260.85,6229.35,6251.92,6217,6240,6227,6186,6167,6153,6137,6119,6109
1,, DVMT,8240283,7830675,8023214,8736133,8654717,8613759,8636505,8652561,8546843,10456957,10599528,10709602,10691000,10681000,10721000,10854000,10715000,10745000,10804000,10823000,10551000
2,SMALL URBAN, MILES,823.4300000000001,823.4000000000001,820.5699999999999,820.6500000000001,823.91,823.5,823.12,823.1399999999999,823.06,906.1200000000001,904.76,904.69,902,901,898,898,894,893,890,884,885
3,, DVMT,2337314,2259392,2272430,2469706,2504970,2520821,2524463,2607688,2574592,2778220,2816194,2868533,2859000,2849000,2882000,2925000,2909000,2914000,2927000,2930000,2917000
4,BRIDGEPORT-STAMFORD, MILES,4060.3,4060.0299999999997,4064.46,4064.29,4049.43,4048.0099999999998,4048.7299999999996,4046.99,4046.56,3960.58,3960.19,3958.17,3957,3955,3952,3950,3944,3941,3935,3926,3922
5, , DVMT,19611771,19157295,18807111,20546066,20446389,20355849,20581203,20612267,20323348,19640925,19885235,19976995,19998000,20008000,20285000,20604000,20491000,20323000,20182000,19933000,20037000
6,DANBURY, MILES,905.95,905.73,906.8299999999999,906.8399999999999,905.26,905.23,905.25,905.05,904.7,835.5300000000001,835.34,834.99,835,834,830,830,825,822,821,821,817
7, , DVMT,3773577,3635983,3774256,4017558,4016316,4026458,4010428,3985081,3970459,3589471,3632978,3616175,3621000,3807000,3666000,3676000,3622000,3646000,3667000,3701000,3617000
8,HARTFORD, MILES,4417.56,4413.77,4427.77,4425.68,4418.03,4414.639999999999,4410.17,4405.12,4398.43,4131.325,4127.135,4125.254999999999,4115,4112,4103,4083,4079,4060,4054,4041,4022
9, , DVMT,21708099,21542323,23032106,23620909,23668295,23589318,23486033,23475375,23306225,22166183,22283211,22238933,22334000,22323000,22429000,22660000,22459000,22281000,22182000,22064000,21895000
10,NEW HAVEN, MILES,2632.07,2631.6800000000003,2642.21,2641.26,2640.26,2638.52,2634.79,2632.56,2631.87,2536.255,2534.945,2534.065,2532,2525,2524,2519,2515,2505,2503,2497,2494
11, , DVMT,13016339,12739730,13489145,14084399,14027211,14001954,13870647,13856468,13582498,13599372,13678379,13498359,13542000,13633000,13718000,13852000,13861000,13786000,13590000,13548000,13593000
12,NEW YORK-NEWARK, MILES,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,3.82,3.82,3.83,4,5,5,5,5,5,4,4,4
13, , DVMT,1511,1470,1353,1422,1422,1422,1557,1557,1557,2523,2550,2589,3000,3000,3000,2000,2000,2000,4000,4000,4000
14,NORWICH-NEW LONDON, MILES,1232.44,1232.27,1279.9,1279.9,1279.5700000000002,1278.28,1277.82,1276.42,1275.31,1271.8799999999999,1269.86,1268.8400000000001,1268,1272,1269,1269,1268,1263,1261,1260,1259
15, , DVMT,5481190,5335531,4952697,5806691,5797610,5764969,5933880,5981986,5849076,5925920,5956307,5973015,6060000,6089000,6106000,6324000,6258000,6324000,6374000,6331000,6244000
16,SPRINGFIELD, MILES,581.5899999999999,582.04,580.6899999999999,590.72,589.71,589.05,587.53,587.21,586.12,660.725,659.895,658.775,658,659,656,655,655,657,645,644,640
17,, DVMT,2432352,2368901,2601186,2600109,2765989,2761899,2759665,2713543,2677179,2904499,2923247,2948535,2987000,2936000,2963000,2988000,2944000,2920000,2898000,2903000,2935000
18,WATERBURY, MILES,854.54,854.55,855.71,855.46,854.68,852.1999999999999,850.49,848.5400000000001,845.63,821.685,820.325,819.2349999999999,817,816,814,814,811,808,806,806,805
19,, DVMT,3656526,3585585,3626038,3691077,3668532,3661018,3661604,3661420,3632913,3463907,3410767,3388283,3388000,3426000,3452000,3464000,3406000,3374000,3352000,3388000,3301000
20,WORCESTER, MILES,301.62,301.62,301.62,301.64,302.02,302.02,302.03,301.82,301.37,85.44,85.44,85.42,86,88,86,86,85,86,87,87,86
21,, DVMT,1018614,963786,964016,1003602,1012131,1004076,978197,1004919,988229,242399,247027,250895,255000,252000,254000,260000,255000,253000,249000,249000,245000
22,TOTAL, MILES,21367.550000000003,21362.59,21575.04,21577.4,21555.74,21543.84,21530.829999999998,21511.760000000002,21508.4,21474.21,21431.06,21445.190000000002,21391,21407,21364,21295,21248,21193,21143,21089,21043
23,, DVMT,81277576,79420671,81543552,86577672,86563582,86301543,86444182,86552865,85452919,84770376,85435423,85471914,85738000,86007000,86479000,87609000,86922000,86568000,86229000,85874000,85339000
24,,= Added Federal Road Mileage,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,
