Year,Sector,Subsector,Activity Data Description,Activity Data Unit,Activity Data,GHG Emissions (MMTCO2e),Population,Emissions per Capita (MTCO2e)
2021,Mobile Combustion,Automobile,Vehicle Miles Traveled,Billion Miles,2.8979099731431552,1.062377716148684,986344,1.0770864081382197
2021,Mobile Combustion,Motorcycle,Vehicle Miles Traveled,Billion Miles,0.21546395798449836,0.0378354710220779,986344,0.03835930570072702
2021,Mobile Combustion,Trucks,Vehicle Miles Traveled,Billion Miles,3.9969444496267617,1.8478431773418107,986344,1.8734266922511928
2021,Mobile Combustion,Buses,Vehicle Miles Traveled,Billion Miles,0.026465664245584504,0.020892621056045,986344,0.021181880820530158
2021,Electricity Consumption,Residential,Electricity Consumption,TWh,3.511203402,0.8661696766719452,986344,0.8781618549633244
2021,Electricity Consumption,Commercial/Industrial,Electricity Consumption,TWh,3.459753129,0.853477542031238,986344,0.8652939968522525
2021,Solid Waste,Waste Combustion,Waste Combustion Emissions, ,,0.290551,986344,0.29457369842570136
2021,Solid Waste,Landfill Emissions,Landfills Emissions, ,,0.0,986344,0.0
2020,Stationary Combustion,Residential,Household Heating Oil Consumption,Million Gallon,83.09512447061253,0.8462482261699205,972981,0.8697479459207532
2020,Stationary Combustion,Residential,Household Propane Consumption,Million Gallon,13.433250978929705,0.0771290254831717,972981,0.07927084442879327
2020,Stationary Combustion,Residential,Household Natural Gas Consumption,Million cf,10447.552688814194,0.5687647683790448,972981,0.5845589671114284
2020,Stationary Combustion,Commercial,Commercial Building Footprint,Unitless Ratio,0.1902560623945624,0.7276352181509945,972981,0.7478411378546904
2020,Stationary Combustion,Industrial,, ,,0.1099085410864805,972981,0.11296062419151094
2017,Agriculture & Land management,Organic Fertilizer,Organic Fertilizer Land Area,Acres,193.87678133423108,0.0001107480401395,976389,0.00011342614484544583
2017,Agriculture & Land management,Synthetic Fertilizer,Synthetic Fertilizer Land Area,Acres,1849.04823900147,0.014273378088711,976389,0.014618536350482237
2017,Agriculture & Land management,Manure Fertilizer,Manure Fertilizer Land Area,Acres,297.00272885243913,2.292656380116436e-05,976389,2.3480973055989322e-05
2021,Wastewater Treatment,Wastewater Facility,Waste Water Facility,Unitless Ratio,0.0766078467278116,0.0840189231644447,986344,0.08518217089012017
2015,Forestry,Deciduous Forest,Deciduous Forest Area,Thousand Hectare,77.9059641,-0.637011099791,969332,-0.6571650371503263
2015,Forestry,Coniferous Forest,Coniferous Forest Area,Thousand Hectare,7.40596953,-0.060556144190300004,969332,-0.062472036609025595
2015,Forestry,Forested Wetland,Forested Wetland Area,Thousand Hectare,4.85093655,-0.039664491190499994,969332,-0.040919407582231886
