,New Haven-Milford,Hartford-east Hartford-Middletown,Bridgeport-Stamford-Norwalk
Mobile Combustion (MMTCO2e),3.325106672479341,3.5155270694049285,3.01005428691067
Electric Power Consumption (MMTCO2e),1.5206000174112455,1.4754664921949512,1.7979553667464585
Solid Waste (MMTCO2e),3.104128108831747,3.2582712515605157,2.394379519507176
Residential Building (MMTCO2e),1.5904737099660284,1.6762607381597825,1.5335777574609748
Commercial Building (MMTCO2e),1.1170330228056624,1.2995887401797863,0.7478411378546904
Industrial Facility (MMTCO2e),0.3966213760600561,0.2824217732209468,0.1129606241915109
Agriculture & land management (MMTCO2e),0.033917451619323365,0.14345304027716158,0.01568349040537649
Wastewater treatment (MMTCO2e),0.1073802087041735,0.1836748822714649,0.0776684875944007
Urban forestry (MMTCO2e),-0.7283047955336048,-1.6352398445510474,-0.7782222579421277
Total (MMTCO2e),10.466955772343972,10.19942414271849,8.91189841272913
