,MSA,CO2 Emissions (MMTCO2e),CH4 Emissions (MMTCO2e),N2O Emissions (MMTCO2e)
0,NH_automobile,1.0224834396944749,0.000561317788078288,0.005854544529656545
1,HH_automobile,1.5487528557251198,0.000850226510773927,0.008867862507372058
2,BSN_automobile,1.0557530939500788,0.000579581994628631,0.006045040203976622
3,NH_motorcycle,0.03664317232391092,0.0,0.0
4,HH_motorcycle,0.05550331240224523,0.0,0.0
5,BSN_motorcycle,0.037835471022077904,0.0,0.0
6,NH_trucks,1.7883622783891673,9.677474621057935e-05,0.0011535549748301057
7,HH_trucks,2.708827427614788,0.00014658444209178948,0.0017472865497341304
8,BSN_trucks,1.8465521642845812,9.992361124066907e-05,0.0011910894459887752
9,NH_buses,0.020192842557387198,3.203957389125099e-06,3.8191172078371186e-05
10,HH_buses,0.030586043119980474,4.853025450966539e-06,5.7848063375521145e-05
11,BSN_buses,0.02084987900828841,3.3082080306980624e-06,3.9433839725920905e-05
